Bank,Internal Title,Person,Fiscal Year,RSSD_ID,Stock Class,Number of Shares,Percentage of Ownership
First Century Bancorp.,Director,"william m. evans,jr.",2017,2997739,Common Stock,356,0.057
First Century Bancorp.,Director,"william m. evans,jr.",2017,2997739,Warrants,253,0.0363
First Century Bancorp.,Director,r. allen smith,2017,2997739,Shares,223,0.035699999999999996
First Century Bancorp.,Director,r. allen smith,2017,2997739,Warrants,61,0.0087
First Century Bancorp.,Director,r. allen smith,2017,2997739,Shares,102,0.0163
First Century Bancorp.,Director,r. allen smith,2017,2997739,Warrants,204,0.029300000000000003
First Century Bancorp.,Director,r. allen smith,2017,2997739,Shares,150,0.024
First Century Bancorp.,Director,r. allen smith,2017,2997739,Warrants,196,0.0281
First Century Bancorp.,Director,richard t. smith,2017,2997739,Common Stock,475,0.0761
First Century Bancorp.,Director,richard t. smith,2017,2997739,Warrants,461,0.0661
First Century Bancorp.,Corporate Secretary,"william m. evans,jr.",2017,2997739,Common Stock,356,0.057
First Century Bancorp.,Corporate Secretary,"william m. evans,jr.",2017,2997739,Warrants,253,0.0363
First Century Bancorp.,Director,"william a. bagwell,jr.",2018,,Common Stock,469,0.0751
First Century Bancorp.,Director,"william a. bagwell,jr.",2018,,Warrants,889,0.12619999999999998
First Century Bancorp.,Director,"william a. bagwell,jr.",2018,,Options,8,0.0178
First Century Bancorp.,Chairman of the Board/CEO,william r. blanton,2018,,Common Stock,1451,0.2323
First Century Bancorp.,Chairman of the Board/CEO,william r. blanton,2018,,Warrants,2744,0.3895
First Century Bancorp.,Director,"william m. evans,jr.",2018,,Common Stock,356,0.057
First Century Bancorp.,Director,"william m. evans,jr.",2018,,Warrants,268,0.038
First Century Bancorp.,Director,"william m. evans,jr.",2018,,Options,8,0.0178
First Century Bancorp.,,"silver hill enterprises,lp",2018,,Common Stock,435,0.0697
First Century Bancorp.,,"silver hill enterprises,lp",2018,,Warrants & Options,877,0.1245
First Century Bancorp.,Director,richard t. smith,2018,,Common Stock,475,0.0761
First Century Bancorp.,Director,richard t. smith,2018,,Warrants,485,0.0688
First Century Bancorp.,Director,richard t. smith,2018,,Options,8,0.0178
First Century Bancorp.,Director,"william a. bagwell,jr.",2019,,Common Stock,469,0.036000000000000004
First Century Bancorp.,Director,"william a. bagwell,jr.",2019,,Warrants,889,0.12619999999999998
First Century Bancorp.,Director,"william a. bagwell,jr.",2019,,Options,25,0.0356
First Century Bancorp.,Chairman of the Board/CEO,william r. blanton,2019,,Common Stock,2600,0.19940000000000002
First Century Bancorp.,Chairman of the Board/CEO,william r. blanton,2019,,Warrants,2744,0.3895
First Century Bancorp.,Director,"william m. evans,jr.",2019,,Common Stock,994,0.0762
First Century Bancorp.,Director,"william m. evans,jr.",2019,,Warrants,1145,0.1625
First Century Bancorp.,Director,"william m. evans,jr.",2019,,Options,25,0.0356
First Century Bancorp.,Director,richard t. smith,2019,,Common Stock,475,0.0364
First Century Bancorp.,Director,richard t. smith,2019,,Warrants,485,0.0688
First Century Bancorp.,Director,richard t. smith,2019,,Options,25,0.0356
First Century Bancorp,Chairman of the Board/CEO,william r. blanton,2023,,Common Stock,4698,0.3848
First Century Bancorp,Chairman of the Board/CEO,william r. blanton,2023,,Warrants,3460,0.8084
First Century Bancorp,Director,joe mccart,2023,,,180,0.0147
First Century Bancorp,Director,richard t. smith,2023,,Common Stock,732,0.06
First Century Bancorp,Director,richard t. smith,2023,,Warrants,228,0.0533
First Century Bancorp,Director,richard t. smith,2023,,Options,25,0.0128
"First Chatsworth Bankshares,Inc.",Chairman and Director,john h. waters,2015,1084481,Common Stock (Personally),481139,0.6304
"First Chatsworth Bankshares,Inc.",Chairman and Director,john h. waters,2015,1084481,Common Stock (Family),33270,0.0436
"First Chatsworth Bankshares,Inc.",Chairman and Director,john h. waters,2016,,Common Stock,549756,0.7204999999999999
"First Chatsworth Bankshares,Inc.",Chairman and Director,john h. waters,2016,,Common Stock,33270,0.0436
"First Chatsworth Bankshares,Inc.",Chairman and Director,john h. waters,2017,450632,Common Stock,568824,0.7454999999999999
"First Chatsworth Bankshares,Inc.",Chairman and Director,john h. waters,2017,450632,Common Stock,39333,0.051500000000000004
"First Chatsworth Bankshares,Inc.",Chairman and Director,john h. waters,2018,,Common Stock,568824,0.7454999999999999
"First Chatsworth Bankshares,Inc.",Chairman and Director,john h. waters,2018,,Common Stock,41398,0.0542
"First Chatsworth Bankshares,Inc.",Director,donald j. leeper,2019,450632,Common Stock,109545,0.1014
"First Chatsworth Bankshares,Inc.",Director,donald j. leeper,2019,450632,Common Stock,87810,0.08130000000000001
"First Chatsworth Bankshares,Inc.",Chairman and Director,john h. waters,2019,450632,Common Stock,568824,0.5267000000000001
"First Chatsworth Bankshares,Inc.",Chairman and Director,john h. waters,2019,450632,Common Stock,41398,0.0383
"First Chatsworth Bankshares,Inc.",Director,andrew c. heaner,2021,,Common Stock,183709,0.1168
"First Chatsworth Bankshares,Inc.",Director,donald j. leeper,2021,,Common Stock,109545,0.0697
"First Chatsworth Bankshares,Inc.",Director,donald j. leeper,2021,,Common Stock,87810,0.0558
"First Chatsworth Bankshares,Inc.",Director,john h. waters,2021,,Common Stock,568824,0.3617
"First Chatsworth Bankshares,Inc.",Director,john h. waters,2021,,Common Stock,41898,0.026600000000000002
"First Chatsworth Bankshares,Inc.",Director,andrew c. heaner,2022,,Common Stock (Personally),183709,0.1168
"First Chatsworth Bankshares,Inc.",Director,donald j. leeper,2022,,Common Stock (Personally),109545,0.0697
"First Chatsworth Bankshares,Inc.",Director,donald j. leeper,2022,,Common Stock (Family),87810,0.0558
"First Chatsworth Bankshares,Inc.",Director,john h. waters,2022,,Common Stock (Personally),568824,0.3618
"First Chatsworth Bankshares,Inc.",Director,john h. waters,2022,,Common Stock (Family),41950,0.026699999999999998
"First Chatsworth Bankshares,Inc.",Director,andrew c. heaner,2023,,Common Stock (Personally),114168,0.07339999999999999
"First Chatsworth Bankshares,Inc.",Director,andrew c. heaner,2023,,Common Stock (Family),0,0.0
"First Chatsworth Bankshares,Inc.",Director,donald j. leeper,2023,,Common Stock (Personally),109545,0.0704
"First Chatsworth Bankshares,Inc.",Director,donald j. leeper,2023,,Common Stock (Family),87810,0.0564
"First Chatsworth Bankshares,Inc.",Director,john h. waters,2023,,Common Stock (Personally),568468,0.3652
"First Chatsworth Bankshares,Inc.",Director,john h. waters,2023,,Common Stock (Family),142975,0.0919
"First Citizens-Crenshaw Bancshares,Inc.",Stockholder,john d. harrison,2014,541231,Common Stock,4566,0.060629999999999996
"First Citizens-Crenshaw Bancshares,Inc.",Director/Secretary,bobbie jackson family trust,2014,541231,Common Stock,420,0.00557
"First Citizens-Crenshaw Bancshares,Inc.",Director,john m. wise,2014,541231,Common Stock,7805,0.10269
"First Citizens-Crenshaw Bancshares,Inc.",Chairman,john m. wise,2014,541231,Common Stock,7805,0.10269
"First Citizens-Crenshaw Bancshares,Inc.",Stockholder,john d. harrison,2015,1143379,Common Stock,4566,0.060899999999999996
"First Citizens-Crenshaw Bancshares,Inc.",Chairman of the Board,john m. wise,2015,1143379,Common Stock,7285,0.09717
First Citizens Bank,,john d. harrison,2016,1143379,Common Stock,4566,0.061020000000000005
First Citizens Bank,Director/Secretary,bobbie jackson family trust,2016,1143379,Common Stock,420,0.005600000000000001
First Citizens Bank,Chairman of the Board,john m. wise,2016,1143379,Common Stock,7285,0.09468
"First Citizens-Crenshaw Bancshares,Inc.",,john d. harrison,2017,,Common Stock,4566,0.061040000000000004
"First Citizens-Crenshaw Bancshares,Inc.",Chairman of the Board,john m. wise,2017,,Common Stock,7285,0.09176000000000001
"First Citizens-Crenshaw Bancshares,Inc.",,john d. harrison,2018,,Common Stock,4566,0.061079999999999995
"First Citizens-Crenshaw Bancshares,Inc.",,bobbie jackson family trust,2018,,Common Stock,420,0.00561
"First Citizens-Crenshaw Bancshares,Inc.",,virginia jackson jones,2018,,Common Stock,1995,0.026680000000000002
"First Citizens-Crenshaw Bancshares,Inc.",Chairman,john m. wise,2018,,Common Stock,6472,0.08657
"First Citizens-Crenshaw Bancshares,Inc.",,john m. wise,2018,,Common Stock,6472,0.08657
"First Citizens-Crenshaw Bancshares,Inc.",,john d. harrison,2019,,Common Stock,4566,0.061340000000000006
"First Citizens-Crenshaw Bancshares,Inc.",,bobbie jackson family trust,2019,,Common Stock,420,0.005639999999999999
"First Citizens-Crenshaw Bancshares,Inc.",,virginia jackson jones,2019,,Common Stock,5990,0.08047
"First Citizens-Crenshaw Bancshares,Inc.",Chairman,john m. wise,2019,,Common Stock,6274,0.08428000000000001
"First Citizens-Crenshaw Bancshares,Inc.",,john d. harrison,2020,,Common Stock,4566,0.06142
"First Citizens-Crenshaw Bancshares,Inc.",,virginia jackson jones,2020,,Common Stock,5990,0.08058
"First Citizens-Crenshaw Bancshares,Inc.",Chairman,john m. wise,2020,,Common Stock,6274,0.08439
"First Citizens-Crenshaw Bancshares,Inc.",,john d. harrison,2021,,Common Stock,4566,0.06237
"First Citizens-Crenshaw Bancshares,Inc.",Chairman,john m. wise,2021,,Common Stock,6076,0.08298
First Citizens Financial Corporation,President & CEO,charles m. buckner,2014,3549171,Common Stock,35000,0.022099999999999998
First Citizens Financial Corporation,President & CEO,charles m. buckner,2014,3549171,Warrants,35000,0.022099999999999998
First Citizens Financial Corporation,President & CEO,charles m. buckner,2014,3549171,Options,63020,0.035
First Citizens Financial Corporation,,lowe family in concert,2015,3549180,Common Stock,200000,0.1265
First Citizens Financial Corporation,Director,jeffrey anderson,2016,,Common Stock,4000000,0.18030000000000002
First Citizens Financial Corporation,Director,ben mackovak,2016,,Common Stock,4248480,0.19149999999999998
"First Citrus Bancorporation,Inc.",Director President & CEO,john m. barrett,2014,,Common Stock,58001,0.04
"First Citrus Bancorporation,Inc.",Director President & CEO,john m. barrett,2014,,Options on Common Stock,48724,0.03
"First Citrus Bancorporation,Inc.",Director President & CEO,john m. barrett,2015,,Common Stock,62446,0.04
"First Citrus Bancorporation,Inc.",Director President & CEO,john m. barrett,2015,,Options,48724,0.03
"First Citrus Bancorporation,Inc.",Director President & CEO,john m. barrett,2016,3547841,Common Stock,62446,0.04
"First Citrus Bancorporation,Inc.",Director President & CEO,john m. barrett,2016,3547841,Options,51160,0.03
"First Citrus Bancorporation,Inc.",Director President & CEO,john m. barrett,2017,,Common Stock,66746,0.03
"First Citrus Bancorporation,Inc.",Director President & CEO,john m. barrett,2017,,Options on Common Stock,58160,0.03
"First Citrus Bancorporation,Inc.",President & CEO,john m. barrett,2018,,Common Stock,70027,0.03
"First Citrus Bancorporation,Inc.",President & CEO,john m. barrett,2018,,Options,61068,0.03
"First Citrus Bancorporation,Inc.",President & CEO,john m. barrett,2019,,Common Stock,70027,0.03
"First Citrus Bancorporation,Inc.",President & CEO,john m. barrett,2019,,Options on Common Stock,55556,0.03
"First Citrus Bancorporation,Inc.",President & CEO,john m. barrett,2020,,Common Stock,73381,0.03
"First Citrus Bancorporation,Inc.",President & CEO,john m. barrett,2020,,Options on Common Stock,55556,0.03
"First Citrus Bancorporation,Inc.",Director President & CEO,john m. barrett,2021,,Common Stock,77845,0.04
"First Citrus Bancorporation,Inc.",Director President & CEO,john m. barrett,2021,,Options,60047,0.03
First Community Bank,Director,sidney k. lawson,2017,2037185,,99400,0.061
First Community Bank,Director,sidney k. lawson,2017,2037185,,0,0.0602
First Community Bank,Chairman/Secretary Director,tommy w. young,2017,2037185,,93298,0.0572
First Community Bank,Chairman/Secretary Director,tommy w. young,2017,2037185,,0,0.0565
First Community Corporation,Director,sidney k. lawson,2018,,,99400,0.061
First Community Corporation,Director,tommy w. young,2018,,,94198,0.057800000000000004
First Community Corporation,Director,sidney k. lawson,2019,,,99400,0.061
First Community Corporation,Director,sidney k. lawson,2019,,,7500,0.0626
First Community Corporation,Chairman/Secretary,tommy w. young,2019,,,94198,0.057800000000000004
First Community Corporation,Chairman/Secretary,tommy w. young,2019,,,7500,0.0596
First Community Bank,Director,sidney k. lawson,2022,2037185,,99400,0.0584
First Community Bank,Director,sidney k. lawson,2022,2037185,,7500,0.06280000000000001
First Community Corporation,Director,sidney k. lawson,2023,,,99400,0.0602
First Community Corporation,Director,sidney k. lawson,2023,,,6000,0.0638
First Community Corporation,,alliance bernstein,2023,,,179344,0.10859999999999999
First Community Corporation,,matt daniels,2023,,,188456,0.11410000000000001
FIRST COMMERCE BANCORP. INC.,Director,james p. moon,2014,3465909,,,0.0281
FIRST COMMERCE BANCORP. INC.,Director & Board Secretary,glenn hardison,2014,3465909,,,0.021099999999999997
FIRST COMMERCE BANCORP. INC.,Director,david kennedy,2014,3465909,,,0.0067
FIRST COMMERCE BANCORP. INC.,Chairman of the Board,william b. marsh,2014,3465909,Common Stock,84401,0.0567
FIRST COMMERCE BANCORP. INC.,Chairman of the Board,william b. marsh,2014,3465909,,,0.0567
FIRST COMMERCE BANCORP. INC.,Director,"allen l. henderson,jr.",2014,3465909,,,0.0129
FIRST COMMERCE BANCORP. INC.,Director,"james l. russell,jr.",2014,3465909,,,0.012199999999999999
FIRST COMMERCE BANCORP. INC.,Director,"robert e. wiles,jr.",2014,3465909,,,0.012
FIRST COMMERCE BANCORP. INC.,Director,john o. chunn,2014,3465909,,,0.022799999999999997
FIRST COMMERCE BANCORP. INC.,Director,jason jent,2014,3465909,,,0.0006
"First Commercial Bancshares,Inc.",Director,william r. james,2014,,Common Stock,42347,0.053099999999999994
"First Commercial Bancshares,Inc.",Director,william r. james,2015,3374935,Common Stock,42739,0.045
"First Columbia Bancorp,Inc.",Director,jenny drawdy,2016,,,,0.3045
"First Columbia Bancorp,Inc.",Director,david goolsby,2016,,,,0.3044
"First Columbia Bancorp,Inc.",,gary scaff,2016,,,,0.3044
"First Columbia Bancorp,Inc.",President; Managing Member Columbia Bank,jenny drawdy,2017,,,,0.3045
"First Columbia Bancorp,Inc.",Director; Director Columbia Bank,david goolsby,2017,,,,0.3044
"First Columbia Bancorp,Inc.",,gary scaff,2017,,,,0.3044
First Community Bank,Director,sidney k. lawson,2015,2037185,,99400,0.061
First Community Bank,Director,sidney k. lawson,2015,2037185,,99400,0.0602
First Community Bank,Director,tommy w. young,2015,2037185,,93298,0.0572
First Community Bank,Director,tommy w. young,2015,2037185,,93298,0.0565
First Community Bank,Chairman/Secretary,tommy w. young,2015,2037185,,93298,0.0572
First Community Bank,Chairman/Secretary,tommy w. young,2015,2037185,,93298,0.0565
First Community Corporation,Director,sidney k. lawson,2016,,,99400,0.0602
First Community Corporation,Chairman/Secretary Director,tommy w. young,2016,,,93298,0.0565
"First Dozier Bancshares,Inc.",Director,janice p. biggers,2014,,Common Stock,25000,0.1432
"First Dozier Bancshares,Inc.",,r. r. johnson estate,2014,,Common Stock,19500,0.1117
"First Dozier Bancshares,Inc.",,"r. r. johnson estate amy j. goodson,executrix",2016,3013793,Common Stock,19500,0.1117
"First Dozier Bancshares,Inc.",,janice p. biggers,2016,3013793,Common Stock,24730,0.1417
"First Dozier Bancshares,Inc.",,r. r. johnson estate,2017,,Common Stock,19500,0.1117
"First Dozier Bancshares,Inc.",,janice p. biggers,2017,,Common Stock,24730,0.1417
"First Dozier Bancshares,Inc.",,r. r. johnson estate,2018,3013793,Common Stock,19500,0.1117
"First Dozier Bancshares,Inc.",,"amy j. goodson,executrix",2018,3013793,Common Stock,19500,0.1117
"First Dozier Bancshares,Inc.",,janice p. biggers,2018,3013793,Common Stock,24730,0.1417
"First Dozier Bancshares,Inc.",,anna laurie bryant mckibbens,2020,,,38833,0.2225
"First Dozier Bancshares,Inc.",,mae martin bryant murray,2020,,,35831,0.2053
"First Dozier Bancshares,Inc.",,stella gray bryant sykes,2020,,,32831,0.1881
"First Dozier Bancshares,Inc.",,anna laurie bryant mckibbens,2021,,,38833,0.2225
"First Dozier Bancshares,Inc.",,mae martin bryant murray,2021,,,35831,0.2053
"First Dozier Bancshares,Inc.",,stella gray bryant sykes,2021,,,32831,0.1881
"First Farmers Bancshares,Inc.",Principal Shareholder,douglas & irene williams,2014,,Common Stock,197950,0.1066
"First Farmers Bancshares,Inc.",Director,j. david baker,2022,,,3069,0.026600000000000002
"First Farmers Bancshares,Inc.",Director,james d. house,2022,,,2561,0.022099999999999998
"First Farmers Bancshares,Inc.",Director,joseph w. empson,2022,,,32425,0.28059999999999996
First Federal Bancorp,Director,"charles h. griner,jr.",2018,,Common,11475,0.018089
First Federal Bancorp,"Director,Director First Southern Bank","charles h. griner,jr.",2019,,Common,11475,0.018089
"First Florida Bancorp,Inc",Director; Owner,kevin logan,2014,,Common Stock,353333,0.0558
"First Florida Bancorp,Inc",Director; President,harroll d. castle,2014,,Common Stock,515000,0.08130000000000001
"First Florida Bancorp,Inc",Director; Doctor,james m. arthur,2014,,Common Stock,833333,0.1316
"First Florida Bancorp,Inc",Director; Attorney,joe ladon dewrell,2014,,Common Stock,1178575,0.1861
"First Florida Bancorp,Inc",Chairman\nand Director,frank b. burge,2015,,Common Stock,850000,0.1343
"First Florida Bancorp,Inc",Director,kevin logan,2015,,Common Stock,353333,0.0558
"First Florida Bancorp,Inc",Director,harroll d. castle,2015,,Common Stock,515000,0.08130000000000001
