Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,Percentage of Voting Shares,RSSD_ID,Percentage of Voting Shares in Subsidiaries,URL_Bank_Name,Table Presence
Capital One Financial Corporation,"General Counsel,Corporate Secretary""""","Cooper,Matthew W.""""",n/a,n/a,2023,N/A,0.01%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,"President,Banking and Premium Products""""","Dean,Lia""""",n/a,n/a,2023,N/A,0.01%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,"Detrick,Christine""""",n/a,n/a,2023,Business Executive,0.00%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,"Chairman of the Board,Chief Executive Officer""""","Fairbank,Richard D.""""",n/a,n/a,2023,N/A,1.01%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Treasurer,"Feil,Thomas A.""""",n/a,n/a,2023,N/A,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Controller and Principal Accounting Officer,"Golden,Timothy P.""""",n/a,n/a,2023,N/A,0.00%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,"Hackett,Ann Fritz""""",n/a,n/a,2023,Business Executive,0.01%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Chief Human Resource Officer,"Haggerty,Kaitlin B.""""",n/a,n/a,2023,N/A,0.00%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Senior Advisor,"Hall,Sheldon F. (\""Trip\"")""""",n/a,n/a,2023,N/A,0.02%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,"President,Retail Bank""""","Edwards Karam,Celia""""",n/a,n/a,2023,N/A,0.01%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,"Killalea,Peter T.""""",n/a,n/a,2023,N/A,0.00%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Chief Enterprise Services Officer,"LaPrade,III""","Frank G."",n/a""",n/a,2023,Business Executive,0.01%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,"Leenaars,Cornelius Petrus Adrianus Joseph (\""Eli Leenaars\"")""""",n/a,n/a,2023,Business Executive,0.00%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,"Locoh-Donou,François""""",n/a,n/a,2023,Business Executive,0.00%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,"President,U.S. Card""""","Mouadeb,Mark D.""""",n/a,n/a,2023,N/A,0.00%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,"President,Capital One Software""",International,"and Small Business Products"",Raghu","Ravi"",n/a""",n/a,2023,N/A,0.01%,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,"Raskind,Peter E.""""",n/a,n/a,2023,Business Executive,0.01%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,"Serra,Eileen""""",n/a,n/a,2023,Business Executive,0.00%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,"Shattuck,III""","Mayo A."",n/a""",n/a,2023,Business Executive,0.02%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,"Warner,Bradford H.""""",n/a,n/a,2023,Business Executive,0.01%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Chief Enterprise Risk Officer,"West,Kara""""",n/a,n/a,2023,N/A,0.00%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,"Williams,Craig Anthony""""",n/a,n/a,2023,Business Executive,0.00%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,"President,Financial Services""""","Yajnik,Sanjiv""""",n/a,n/a,2023,N/A,0.03%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Chief Financial Officer,"Young,Andrew""""",n/a,n/a,2023,N/A,0.01%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Chief Credit and Financial Risk Officer,"Zamsky,Michael""""",n/a,n/a,2023,N/A,0.01%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Senior Advisor,"Borgmann,Kevin S.""""","LightWeaver,LLC""""","LightWeaver,LLC""""",2023,N/A,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Senior Advisor,"Borgmann,Kevin S.""""","LightWeaver,LLC""""",Dartmouth College,2023,N/A,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Senior Advisor,"Borgmann,Kevin S.""""","LightWeaver,LLC""""",Chesapeake Bay Foundation,2023,N/A,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Senior Advisor,"Borgmann,Kevin S.""""","LightWeaver,LLC""""","Fortune Brands Home & Security,Inc.""""",2023,N/A,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,Bradford H. Warner,Warner Family Foundation,Warner Family Foundation,2023,n/a,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,Bradford H. Warner,Warner Family Foundation,Bradford H. Warner Trust,2023,n/a,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,Bradford H. Warner,Warner Family Foundation,Popes Lane Realty Trust,2023,n/a,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,Bradford H. Warner,Warner Family Foundation,Cushing St Realty Trust,2023,n/a,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Chairman,"Locoh-Donou,François""""",F5 Networks,F5 Networks,2023,n/a,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Chairman,"Locoh-Donou,François""""",F5 Networks,Digijob-Togo,2023,n/a,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Chairman,"Locoh-Donou,François""""",F5 Networks,Cajou Espoir-Togo,2023,n/a,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,Peter Thomas Killalea,Cleveland Museum of Art,Cleveland Museum of Art,2023,n/a,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Chairman,"Yajnik,Sanjiv""""","CBRE Group,Inc.""""","CBRE Group,Inc.""""",2023,n/a,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Board Member,"Edwards Karam,Celia""""",Build Commonwealth for Save Your Refund,Build Commonwealth for Save Your Refund,2023,n/a,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Trustee,Matthew W. Cooper,Virginia Museum of Fine Arts,Virginia Museum of Fine Arts,2023,n/a,n/a,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
"Captex Bancshares,Inc.""""",CHAIRMAN/CEO,GEORGE LEA,n/a,"CAPTEX BANCSHARES,INC""""",2023,BANKER,4.19%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",DIRECTOR,GEORGE LEA,n/a,CAPTEX BANK,2023,BANKER,4.19%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",PRESIDENT,MIKE THOMAS,n/a,"CAPTEX BANCSHARES,INC.""""",2023,BANKER,3.98%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",DIRECTOR,MIKE THOMAS,n/a,CAPTEX BANK,2023,BANKER,3.98%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",SEC/TREASURER,RICHARD BARAJAS,n/a,"CAPTEX BANCSHARES,INC.""""",2023,BANKER,3.04%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",DIRECTOR,RICHARD BARAJAS,n/a,CAPTEX BANK,2023,BANKER,3.04%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",SHAREHOLDER,KEELY STONE,n/a,n/a,2023,BANKER,0.29%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",EVP/COO,KEELY STONE,n/a,n/a,2023,BANKER,0.29%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",SHAREHOLDER,LARRY BENNETT,n/a,n/a,2023,BANKER,0.20%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",EVP/CFO,LARRY BENNETT,n/a,"AGGIEBACK,LLC""""",2023,BANKER,0.20%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",PARTNER,LARRY BENNETT,n/a,"AGGIEBACK,LLC""""",2023,BANKER,0.20%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",DIRECTOR,MICHAEL FISCHER,n/a,n/a,2023,PRIVATE EQUITY EXECUTIVE,0.0029%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",DIRECTOR,"MARK WELSH,IV""""",n/a,n/a,2023,PRIVATE EQUITY EXECUTIVE,2.42%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",DIRECTOR,"MARK WELSH,IV""""",n/a,BEAR GROUP LLC,2023,PRIVATE EQUITY EXECUTIVE,2.42%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",CEO,"MARK WELSH,IV""""",n/a,BEAR GROUP LLC,2023,PRIVATE EQUITY EXECUTIVE,2.42%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",MANAGER,"MARK WELSH,IV""""",n/a,BEAR RESERVE LLC,2023,PRIVATE EQUITY EXECUTIVE,2.42%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",MANAGER,"MARK WELSH,IV""""",n/a,BEAR MAN CAPITAL LLC,2023,PRIVATE EQUITY EXECUTIVE,2.42%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",MANAGER,"MARK WELSH,IV""""",n/a,SENIOR BOOTS LLC,2023,PRIVATE EQUITY EXECUTIVE,2.42%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",ADVISOR,"MARK WELSH,IV""""",n/a,"VARIABLE CUTTING EDGE AI,INC DBA TOREN AI""""",2023,PRIVATE EQUITY EXECUTIVE,2.42%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",DIRECTOR,"MARK WELSH,IV""""",n/a,VARIABLE VOSBURG WELSH LLC,2023,PRIVATE EQUITY EXECUTIVE,2.42%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",DIRECTOR,TONY SCHELL,n/a,n/a,2023,PRIVATE EQUITY EXECUTIVE,1.05%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",DIRECTOR,JAMES CONE,n/a,n/a,2023,MANAGES FAMILY OWNED BUSINESS,2.27%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",DIRECTOR,JAMES CONE,n/a,"CONE MINERALS,LLC""""",2023,MANAGES FAMILY OWNED BUSINESS,2.27%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",MANAGER,JAMES CONE,n/a,"CONE MINERALS,LLC""""",2023,MANAGES FAMILY OWNED BUSINESS,2.27%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",DIRECTOR,"EDWARD H. ELLIS,JR""""",n/a,n/a,2023,RETIRED INSURANCE EXECUTIVE,1.38%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",PRINCIPAL,CLOVER PARTNERS SSI FUND LP,n/a,n/a,2023,EMPLOYEE OWNED INVESTMENT MANAGER,15.95%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",SHAREHOLDER,CLOVER PARTNERS SSI FUND LP,n/a,n/a,2023,EMPLOYEE OWNED INVESTMENT MANAGER,15.95%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",PRINCIPAL,BAYBOSTON CAPITAL LP,n/a,n/a,2023,A PRIVATE EQUITY FIRM,10.79%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Captex Bancshares,Inc.""""",SHAREHOLDER,BAYBOSTON CAPITAL LP,n/a,n/a,2023,A PRIVATE EQUITY FIRM,10.79%,n/a,n/a,"Captex Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Carlson Bankshares, Inc._Y-6_2024-12-31T00_00_00_English",none
"Centra Ventures,Inc.""""",Chairman of Board,Brian Bauerly,Partner,Bauerly Dynamics,2023,Management,17.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Chairman of Board,Brian Bauerly,Shareholder,Pond View,2023,Management,17.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Chairman of Board,Brian Bauerly,CEO,E Ride Industries,2023,Management,17.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Chairman of Board,Brian Bauerly,Shareholder,Park X LLC,2023,Management,17.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Chairman of Board,Brian Bauerly,Shareholder,North Fork Inc.,2023,Management,17.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Chairman of Board,Brian Bauerly,Partner,R.E.A.,2023,Management,17.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Chairman of Board,Brian Bauerly,Partner,"Falcon Building,LLC""""",2023,Management,17.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Chairman of Board,Brian Bauerly,Partner,"St. Joseph Bancshares Acquisitions,Inc""""",2023,Management,17.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Chairman of Board,Brian Bauerly,Shareholder,"Rum River Bancorporation,Inc.""""",2023,Management,17.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Chairman of Board,Brian Bauerly,Partner,"SHB Investors,LLC""""",2023,Management,17.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Chairman of Board,Brian Bauerly,Partner,Hill City Golf LLC,2023,Management,17.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",N/A,Gerald Bauerly,N/A,N/A,2023,Management,1.3%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",CEO/Director,Rollis Anderson,N/A,"Anderson Trucking Service,Inc. & Subs""""",2023,Logistics,16.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",CEO/Director,Rollis Anderson,Director,"BSA Worldwide Holdings,LLC & Subs""""",2023,Logistics,16.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",CEO/Director,Rollis Anderson,Limited Partner,"Granite Equity Partners,LLP""""",2023,Logistics,16.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",CEO/Director,Rollis Anderson,Partner,"RSBA Investors,LLC""""",2023,Logistics,16.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",CEO/Director,Rollis Anderson,Advisory Board,Terral River Barge,2023,Logistics,16.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",CEO/Director,Rollis Anderson,Partner,Pondview Investors of Sauk Rapids,2023,Logistics,16.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",CEO/Director,Rollis Anderson,Chair/Director,"St. Joseph Bancshares Acquisitions,Inc.""""",2023,Logistics,16.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",CEO/Director,Rollis Anderson,Director,Sentry Bank,2023,Logistics,16.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",CEO/Director,Rollis Anderson,Director,Sherburne State Bank,2023,Logistics,16.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",CEO/Director,Rollis Anderson,Director,"Granite Equity Partners,LLP""""",2023,Logistics,16.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",CEO/Director,Rollis Anderson,Lender,Granite Equity Debt Fund,2023,Logistics,16.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",CEO/Director,Rollis Anderson,Limited Partner,"Granite Equity,LLC""""",2023,Logistics,16.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",CEO/Director,Rollis Anderson,Limited Partner,"Granite Debt Fund,LLC""""",2023,Logistics,16.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",N/A,Rollis Anderson Revocable Trust,N/A,N/A,2023,Logistics,0.2%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",N/A,Brent Anderson,N/A,Falcon National Bank (Director),2023,Logistics,1.0%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",N/A,Scott Anderson,N/A,N/A,2023,Logistics,0.9%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Director,Lee Hanson,N/A,Falcon National Bank (Director),2023,Attorney,9.0%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",N/A,Donald Osbome,N/A,N/A,2023,Management,7.0%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",N/A,Douglas Osbome,N/A,N/A,2023,Management,7.1%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",N/A,Steve Torborg,N/A,Falcon National Bank (Director),2023,Construction,6.8%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",N/A,Torborg Builders,N/A,N/A,2023,Construction,3.6%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Director,John Herges,N/A,Falcon National Bank (CEO/Director),2023,Financial Services,6.4%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Director,Diane Wojtanowicz,N/A,Falcon National Bank (Director),2023,Agriculture,5.3%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
"Centra Ventures,Inc.""""",Director,Mike and Brenda Doty,N/A,Falcon National Bank (Director),2023,Retired,3.7%,n/a,n/a,"Centra Ventures, Inc._Y-6_2024-09-02_English",insiders
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Chalybeate Springs Corporation_Y-6_2023-12-31T00_00_00_English,none
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Chandler Bancshares, Inc._Y-6_2024-12-31T00_00_00_English",none
"Citizens Bancshares,Inc.""""",Director,Janelle Snodgrass,Director,CNB Crosbyton,2023,Investments,.753,n/a,n/a,"Citizens Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Citizens Bancshares,Inc.""""",Director / President / Chairman,Max Ham,Director,CNB Crosbyton,2023,Banker,17.793,n/a,n/a,"Citizens Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Citizens Bancshares,Inc.""""",Director,Kim Eudy,n/a,n/a,2023,Housewife,36.780,n/a,n/a,"Citizens Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Citizens Bancshares,Inc.""""",Asst. Vice Pres,Chase Ham,n/a,n/a,2023,Banker,42.92,n/a,n/a,"Citizens Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
